Epigenome ID (EID)	Standardized Epigenome name	Epigenome Mnemonic	GROUP	EID_info
E033	Primary T cells from cord blood	BLD.CD3.CPC	Blood & T-cell	E033_BLD.CD3.CPC_Blood & T-cell
E044	Primary T regulatory cells from peripheral blood	BLD.CD4.CD25.CD127M.TREGPC	Blood & T-cell	E044_BLD.CD4.CD25.CD127M.TREGPC_Blood & T-cell
E043	Primary T helper cells from peripheral blood	BLD.CD4.CD25M.TPC	Blood & T-cell	E043_BLD.CD4.CD25M.TPC_Blood & T-cell
E039	Primary T helper naive cells from peripheral blood	BLD.CD4.CD25M.CD45RA.NPC	Blood & T-cell	E039_BLD.CD4.CD25M.CD45RA.NPC_Blood & T-cell
E041	Primary T helper cells PMA-I stimulated	BLD.CD4.CD25M.IL17M.PL.TPC	Blood & T-cell	E041_BLD.CD4.CD25M.IL17M.PL.TPC_Blood & T-cell
E042	Primary T helper 17 cells PMA-I stimulated	BLD.CD4.CD25M.IL17P.PL.TPC	Blood & T-cell	E042_BLD.CD4.CD25M.IL17P.PL.TPC_Blood & T-cell
E040	Primary T helper memory cells from peripheral blood 1	BLD.CD4.CD25M.CD45RO.MPC	Blood & T-cell	E040_BLD.CD4.CD25M.CD45RO.MPC_Blood & T-cell
E037	Primary T helper memory cells from peripheral blood 2	BLD.CD4.MPC	Blood & T-cell	E037_BLD.CD4.MPC_Blood & T-cell
E048	Primary T CD8+ memory cells from peripheral blood	BLD.CD8.MPC	Blood & T-cell	E048_BLD.CD8.MPC_Blood & T-cell
E038	Primary T helper naive cells from peripheral blood	BLD.CD4.NPC	Blood & T-cell	E038_BLD.CD4.NPC_Blood & T-cell
E047	Primary T CD8+ naive cells from peripheral blood	BLD.CD8.NPC	Blood & T-cell	E047_BLD.CD8.NPC_Blood & T-cell
E029	Primary monocytes from peripheral blood	BLD.CD14.PC	HSC & B-cell	E029_BLD.CD14.PC_HSC & B-cell
E031	Primary B cells from cord blood	BLD.CD19.CPC	HSC & B-cell	E031_BLD.CD19.CPC_HSC & B-cell
E035	Primary hematopoietic stem cells	BLD.CD34.PC	HSC & B-cell	E035_BLD.CD34.PC_HSC & B-cell
E051	Primary hematopoietic stem cells G-CSF-mobilized Male	BLD.MOB.CD34.PC.M	HSC & B-cell	E051_BLD.MOB.CD34.PC.M_HSC & B-cell
E050	Primary hematopoietic stem cells G-CSF-mobilized Female	BLD.MOB.CD34.PC.F	HSC & B-cell	E050_BLD.MOB.CD34.PC.F_HSC & B-cell
E036	Primary hematopoietic stem cells short term culture	BLD.CD34.CC	HSC & B-cell	E036_BLD.CD34.CC_HSC & B-cell
E032	Primary B cells from peripheral blood	BLD.CD19.PPC	HSC & B-cell	E032_BLD.CD19.PPC_HSC & B-cell
E046	Primary Natural Killer cells from peripheral blood	BLD.CD56.PC	HSC & B-cell	E046_BLD.CD56.PC_HSC & B-cell
E030	Primary neutrophils from peripheral blood	BLD.CD15.PC	HSC & B-cell	E030_BLD.CD15.PC_HSC & B-cell
E026	Bone Marrow Derived Cultured Mesenchymal Stem Cells	STRM.MRW.MSC	Mesench	E026_STRM.MRW.MSC_Mesench
E049	Mesenchymal Stem Cell Derived Chondrocyte Cultured Cells	STRM.CHON.MRW.DR.MSC	Mesench	E049_STRM.CHON.MRW.DR.MSC_Mesench
E025	Adipose Derived Mesenchymal Stem Cell Cultured Cells	FAT.ADIP.DR.MSC	Mesench	E025_FAT.ADIP.DR.MSC_Mesench
E023	Mesenchymal Stem Cell Derived Adipocyte Cultured Cells	FAT.MSC.DR.ADIP	Mesench	E023_FAT.MSC.DR.ADIP_Mesench
E052	Muscle Satellite Cultured Cells	MUS.SAT	Myosat	E052_MUS.SAT_Myosat
E055	Foreskin Fibroblast Primary Cells skin01	SKIN.PEN.FRSK.FIB.01	Epithelial	E055_SKIN.PEN.FRSK.FIB.01_Epithelial
E056	Foreskin Fibroblast Primary Cells skin02	SKIN.PEN.FRSK.FIB.02	Epithelial	E056_SKIN.PEN.FRSK.FIB.02_Epithelial
E059	Foreskin Melanocyte Primary Cells skin01	SKIN.PEN.FRSK.MEL.01	Epithelial	E059_SKIN.PEN.FRSK.MEL.01_Epithelial
E061	Foreskin Melanocyte Primary Cells skin03	SKIN.PEN.FRSK.MEL.03	Epithelial	E061_SKIN.PEN.FRSK.MEL.03_Epithelial
